point,X,Y
1,30,-90
2,60,-90
3,120,-90
4,150,-90
5,180,-110
6,180,-140
7,150,-150
8,100,-140
9,120,-82
10,205,-110
11,260,-90
12,270,-30
13,215,-22
14,192,-40
15,192,-80
16,230,-120
17,295,-150
18,280,-80
19,45,-70
